,CUID,Species,Year,Spawners,Recruits,KF_alpha,lnRS,Ricker_resid,R_S
149,177,Lake Sockeye,1962,17339,42721,NA,NA,NA,2.463867582
150,177,Lake Sockeye,1963,19929,32911,NA,NA,NA,1.651412514
151,177,Lake Sockeye,1964,52440,22582,NA,NA,NA,0.430625477
152,177,Lake Sockeye,1965,87795,14718,NA,NA,NA,0.167640526
153,177,Lake Sockeye,1966,39887,10244,NA,NA,NA,0.256825532
154,177,Lake Sockeye,1967,29451,7329,NA,NA,NA,0.248854029
155,177,Lake Sockeye,1968,24942,5905,NA,NA,NA,0.236749258
156,177,Lake Sockeye,1969,14221,5932,NA,NA,NA,0.417129597
157,177,Lake Sockeye,1970,11377,6665,NA,NA,NA,0.585831063
158,177,Lake Sockeye,1971,6564,7280,NA,NA,NA,1.109079829
159,177,Lake Sockeye,1972,5798,7442,NA,NA,NA,1.28354605
160,177,Lake Sockeye,1973,3938,11095,NA,NA,NA,2.81742001
161,177,Lake Sockeye,1974,5251,16056,NA,NA,NA,3.057703295
162,177,Lake Sockeye,1975,5688,26303,NA,NA,NA,4.624296765
163,177,Lake Sockeye,1976,6564,27238,NA,NA,NA,4.1496039
164,177,Lake Sockeye,1977,5087,28256,NA,NA,NA,5.554550816
165,177,Lake Sockeye,1978,11814,26373,NA,NA,NA,2.232351447
166,177,Lake Sockeye,1979,12471,17303,NA,NA,NA,1.387458905
167,177,Lake Sockeye,1980,29449,29215,NA,NA,NA,0.99205406
168,177,Lake Sockeye,1981,15971,24936,NA,NA,NA,1.56132991
169,177,Lake Sockeye,1982,30120,8840,NA,NA,NA,0.293492696
170,177,Lake Sockeye,1983,19253,10925,NA,NA,NA,0.567444035
171,177,Lake Sockeye,1984,9517,11488,NA,NA,NA,1.207103079
172,177,Lake Sockeye,1985,36319,6982,NA,NA,NA,0.192240976
173,177,Lake Sockeye,1986,8970,11383,NA,NA,NA,1.269007804
174,177,Lake Sockeye,1987,5306,16752,NA,NA,NA,3.15718055
175,177,Lake Sockeye,1988,10447,17618,NA,NA,NA,1.686417153
176,177,Lake Sockeye,1989,7679,12821,NA,NA,NA,1.66961844
177,177,Lake Sockeye,1990,2691,23700,NA,NA,NA,8.807134894
178,177,Lake Sockeye,1991,13455,33953,NA,NA,NA,2.523448532
179,177,Lake Sockeye,1992,10392,18096,NA,NA,NA,1.741339492
180,177,Lake Sockeye,1993,13674,NA,NA,NA,NA,0
181,177,Lake Sockeye,1994,3118,NA,NA,NA,NA,0
182,177,Lake Sockeye,1995,27458,NA,NA,NA,NA,0
183,177,Lake Sockeye,1996,23684,NA,NA,NA,NA,0
